croc,adult clypeolabrum anlage
knrl,adult hindgut anlage
Ald,amnioserosa
Ama,amnioserosa
car,amnioserosa
Cat,amnioserosa
Cyt-b5-r,amnioserosa
Eip71CD,amnioserosa
emc,amnioserosa
fj,amnioserosa
bnb,amnioserosa
Gpdh,amnioserosa
Gs1,amnioserosa
kay,amnioserosa
kay,amnioserosa
LanA,amnioserosa
LvpH,amnioserosa
peb,amnioserosa
Pepck,amnioserosa
rst,amnioserosa
shg,amnioserosa
sn,amnioserosa
srp,amnioserosa
tup,amnioserosa
ush,amnioserosa
CrebA,amnioserosa
retn,amnioserosa
C15,amnioserosa
C15,amnioserosa
Crc,amnioserosa
Nmdmc,amnioserosa
TfIIFalpha,amnioserosa
dap,amnioserosa
bun,amnioserosa
Aldh-III,amnioserosa
l(2)s5379,amnioserosa
sgl,amnioserosa
cpb,amnioserosa
Mvl,amnioserosa
Ance,amnioserosa
UTPase,amnioserosa
Chit,amnioserosa
Eip93F,amnioserosa
Esp,amnioserosa
Pdi,amnioserosa
Rel,amnioserosa
Ahcy89E,amnioserosa
Fer1HCH,amnioserosa
apt,amnioserosa
Acer,amnioserosa
NaPi-T,amnioserosa
RfaBp,amnioserosa
Orct,amnioserosa
rhea,amnioserosa
loco,amnioserosa
gk,amnioserosa
Vha68-2,amnioserosa
ade5,amnioserosa
Atet,amnioserosa
Xbp1,amnioserosa
Thor,amnioserosa
Tsf1,amnioserosa
aay,amnioserosa
Sodh-1,amnioserosa
l(3)10615,amnioserosa
Irp-1B,amnioserosa
CG3777,amnioserosa
Csat,amnioserosa
Cyp6g1,amnioserosa
BEST:CK02656,amnioserosa
CG12789,amnioserosa
alphaCop,amnioserosa
cib,amnioserosa
slim,amnioserosa
ps,amnioserosa
Idgf4,amnioserosa
Sec61alpha,amnioserosa
glob1,amnioserosa
Akap200,amnioserosa
l(1)G0320,amnioserosa
l(1)G0255,amnioserosa
aralar1,amnioserosa
Sema-5c,amnioserosa
PQBP-1,amnioserosa
Doc1,amnioserosa
CG16876,amnioserosa
Spn4,amnioserosa
Spn27A,amnioserosa
Tsp42Ea,amnioserosa
CG3097,amnioserosa
CG15347,amnioserosa
CG12139,amnioserosa
regucalcin,amnioserosa
CG1640,amnioserosa
Cyp306a1,amnioserosa
CG8034,amnioserosa
CG10882,amnioserosa
CG17265,amnioserosa
CG17224,amnioserosa
pgant5,amnioserosa
Ndae1,amnioserosa
CG5973,amnioserosa
CG13795,amnioserosa
CG13384,amnioserosa
CG9520,amnioserosa
CG9524,amnioserosa
CG18088,amnioserosa
CG5390,amnioserosa
CG7299,amnioserosa
Pect,amnioserosa
CG5953,amnioserosa
CG17323,amnioserosa
CG10621,amnioserosa
CG10639,amnioserosa
CG9318,amnioserosa
bin3,amnioserosa
CG3409,amnioserosa
CG1600,amnioserosa
CG2064,amnioserosa
CG1946,amnioserosa
Ance-4,amnioserosa
CG11778,amnioserosa
eiger,amnioserosa
ERp60,amnioserosa
CG13189,amnioserosa
CG8839,amnioserosa
CG4670,amnioserosa
CG8603,amnioserosa
CG7997,amnioserosa
CG5174,amnioserosa
CG15094,amnioserosa
CG13868,amnioserosa
CG11136,amnioserosa
CG10433,amnioserosa
CG10082,amnioserosa
CG13565,amnioserosa
CG3394,amnioserosa
CG12030,amnioserosa
CG12011,amnioserosa
CG17723,amnioserosa
PHGPx,amnioserosa
CG14995,amnioserosa
CG1273,amnioserosa
CG11347,amnioserosa
Cyp307a1,amnioserosa
pst,amnioserosa
CG8562,amnioserosa
Ect4,amnioserosa
Doc3,amnioserosa
Doc2,amnioserosa
CG4484,amnioserosa
CG6327,amnioserosa
CG11714,amnioserosa
Sug,amnioserosa
CG11652,amnioserosa
CG17667,amnioserosa
CG10960,amnioserosa
CG8745,amnioserosa
CG9238,amnioserosa
CG17029,amnioserosa
CG11914,amnioserosa
Lmpt,amnioserosa
CG9959,amnioserosa
Cyp12c1,amnioserosa
RhoBTB,amnioserosa
CG5059,amnioserosa
CG12768,amnioserosa
Mes2,amnioserosa
CG1129,amnioserosa
CG2767,amnioserosa
CG18249,amnioserosa
CG8112,amnioserosa
CG8312,amnioserosa
unc-115,amnioserosa
CG12802,amnioserosa
CG5270,amnioserosa
CG6830,amnioserosa
CG18549,amnioserosa
Cyp6d5,amnioserosa
CG8066,amnioserosa
CG14855,amnioserosa
CG6966,amnioserosa
CG6126,amnioserosa
CG13845,amnioserosa
CG17110,amnioserosa
CG13822,amnioserosa
CG10365,amnioserosa
Lsdp1,amnioserosa
kal-1,amnioserosa
CG6178,amnioserosa
CG17781,amnioserosa
CG11791,amnioserosa
CG13653,amnioserosa
CG6070,amnioserosa
Cyp6a18,amnioserosa
Gp93,amnioserosa
CG14523,amnioserosa
CG14527,amnioserosa
CG11874,amnioserosa
CG11880,amnioserosa
Obp99b,amnioserosa
Ugt36Ba,amnioserosa
Aplip1,amnioserosa
CG11642,amnioserosa
EG:BACR7A4.14,amnioserosa
CG32796,amnioserosa
Nplp2,amnioserosa
CG15210,amnioserosa
rols,amnioserosa
comm2,amnioserosa
TepIV,amnioserosa
Cct1,amnioserosa
asparagine-synthetase,amnioserosa
CG32444,amnioserosa
CG8147,amnioserosa
Ilp6,amnioserosa
bwa,amnioserosa
Tre1,amnioserosa
Haspin,amnioserosa
gem,amnioserosa
CG30118,amnioserosa
CG30344,amnioserosa
CG30497,amnioserosa
CG31313,amnioserosa
CG31363,amnioserosa
CG31431,amnioserosa
CG31674,amnioserosa
CG32039,amnioserosa
CG32137,amnioserosa
Drs-l,amnioserosa
dro4,amnioserosa
CR32477,amnioserosa
CG32486,amnioserosa
Rtnl1,amnioserosa
CG34021,amnioserosa
GstE9,amnioserosa
CG32335,amnioserosa
CG34330,amnioserosa
su(r),amnioserosa
CG34360,amnioserosa
unc-115,amnioserosa
slim,amnioserosa
Irk1,amnioserosa
Jra,amnioserosa
amd,anal pad anlage
cad,anal pad anlage
dm,anal pad anlage
eve,anal pad anlage
r-l,anal pad anlage
svr,anal pad anlage
Prat,anal pad anlage
lbl,anal pad anlage
l(3)07882,anal pad anlage
lbe,anal pad anlage
Msr-110,anal pad anlage
Fsh,anal pad anlage
Pdp1,anal pad anlage
ND23,anal pad anlage
Nle,anal pad anlage
dnk,anal pad anlage
Sox100B,anal pad anlage
nop5,anal pad anlage
Aats-leu,anal pad anlage
Aats-ile,anal pad anlage
Gmap,anal pad anlage
CG17834,anal pad anlage
Vha100-2,anal pad anlage
CG5033,anal pad anlage
tio,anal pad anlage
CG3097,anal pad anlage
NFAT,anal pad anlage
CG4678,anal pad anlage
Pvf1,anal pad anlage
AIF,anal pad anlage
CG13096,anal pad anlage
CG13966,anal pad anlage
rgr,anal pad anlage
CG8258,anal pad anlage
CG8058,anal pad anlage
Myd88,anal pad anlage
CG8531,anal pad anlage
pcs,anal pad anlage
CG8249,anal pad anlage
CG9993,anal pad anlage
CG4769,anal pad anlage
CG10565,anal pad anlage
CG6904,anal pad anlage
CG6563,anal pad anlage
CG7993,anal pad anlage
CG17836,anal pad anlage
CG5728,anal pad anlage
CG7802,anal pad anlage
gem,anal pad anlage
CG30118,anal pad anlage
CG30349,anal pad anlage
CG31182,anal pad anlage
CG31871,anal pad anlage
CG32048,anal pad anlage
CG32344,anal pad anlage
CG33071,anal pad anlage
CG33111,anal pad anlage
U3-55K,anal pad anlage
Xrp1,anal pad anlage
kdn,anal pad anlage
al,antennal primordium
ase,antennal primordium
Dll,antennal primordium
eyg,antennal primordium
gsb,antennal primordium
sens,antennal primordium
Poxn,antennal primordium
amos,antennal primordium
shg,antennal primordium
slp1,antennal primordium
ss,antennal primordium
ush,antennal primordium
Yp1,antennal primordium
argos,antennal primordium
B-H2,antennal primordium
sv,antennal primordium
Sox15,antennal primordium
Pbprp5,antennal primordium
B-H1,antennal primordium
Mcm2,antennal primordium
loco,antennal primordium
Rfx,antennal primordium
cato,antennal primordium
qtc,antennal primordium
CG14617,antennal primordium
CG9135,antennal primordium
CG15161,antennal primordium
CG17724,antennal primordium
CG12191,antennal primordium
CG17274,antennal primordium
CG6560,antennal primordium
CG14253,antennal primordium
CG1911,antennal primordium
Sulf1,antennal primordium
CG31291,antennal primordium
CG42749,antennal primordium
slp1,antennal primordium
ase,anterior adult midgut primordium
insc,anterior adult midgut primordium
Sox100B,anterior adult midgut primordium
nerfin-1,anterior adult midgut primordium
CG7055,anterior adult midgut primordium
CG11388,anterior endoderm primordium
ade2,anterior midgut primordium
ade3,anterior midgut primordium
Adf1,anterior midgut primordium
Ald,anterior midgut primordium
Ama,anterior midgut primordium
awd,anterior midgut primordium
ben,anterior midgut primordium
BicD,anterior midgut primordium
bsk,anterior midgut primordium
car,anterior midgut primordium
Cat,anterior midgut primordium
chif,anterior midgut primordium
Chc,anterior midgut primordium
CycA,anterior midgut primordium
Hr46,anterior midgut primordium
Dl,anterior midgut primordium
Dl,anterior midgut primordium
dm,anterior midgut primordium
DNaseII,anterior midgut primordium
Eip71CD,anterior midgut primordium
Eip55E,anterior midgut primordium
Eip75B,anterior midgut primordium
E(spl),anterior midgut primordium
exd,anterior midgut primordium
E(z),anterior midgut primordium
fkh,anterior midgut primordium
Gapdh1,anterior midgut primordium
Gdh,anterior midgut primordium
Gbeta13F,anterior midgut primordium
G-salpha60A,anterior midgut primordium
grau,anterior midgut primordium
GstD1,anterior midgut primordium
His2Av,anterior midgut primordium
Hsc70-5,anterior midgut primordium
Hsf,anterior midgut primordium
Hsp26,anterior midgut primordium
Hsp83,anterior midgut primordium
ImpE2,anterior midgut primordium
janA,anterior midgut primordium
ifc,anterior midgut primordium
Sop2,anterior midgut primordium
gft,anterior midgut primordium
esg,anterior midgut primordium
l(2)35Di,anterior midgut primordium
l(2)37Bb,anterior midgut primordium
l(2)37Cc,anterior midgut primordium
l(2)tid,anterior midgut primordium
Pros26,anterior midgut primordium
dco,anterior midgut primordium
lab,anterior midgut primordium
LanA,anterior midgut primordium
m1,anterior midgut primordium
HLHm3,anterior midgut primordium
RpS3,anterior midgut primordium
HLHmgamma,anterior midgut primordium
mago,anterior midgut primordium
mnd,anterior midgut primordium
mod(mdg4),anterior midgut primordium
mor,anterior midgut primordium
Mov34,anterior midgut primordium
MtnA,anterior midgut primordium
mus308,anterior midgut primordium
nub,anterior midgut primordium
Pc,anterior midgut primordium
Pcl,anterior midgut primordium
peb,anterior midgut primordium
Fib,anterior midgut primordium
Pepck,anterior midgut primordium
phl,anterior midgut primordium
Pros35,anterior midgut primordium
