Label,Color
maternal,#e6194b
cellular blastoderm,#ffe119
amnioserosa,#9a6324
anlage in statu nascendi,#4363d8
brain primordium,#f58231
dorsal ectoderm primordium,#911eb4
anterior endoderm primordium,#46f0f0
head mesoderm primordium,#bcf60c
germ cell,#8A8D91
anterior midgut primordium,#fabebe
dorsal epidermis primordium,#008080
gonad,#e6beff
embryonic brain,#3cb44b
embryonic dorsal epidermis,#f4a460
pharyngeal muscle,#800000
embryonic midgut,#aaffc3
crystal cell,#808000
embryonic salivary gland,#4d2051
